policy,throughput_tasks_per_second,response_mean_seconds,response_p95_seconds,makespan_seconds,deadline_miss_rate,load_utilization_cv,jain_fairness,scheduler_p95_ms
baseline,0.12086066080707467,119.36111111111111,198.75,243.0,0.0,0.32930079055697026,0.8059701492537313,
random,0.08519208877765612,161.47222222222223,213.25,363.0,0.0,0.3993948415967269,0.6101694915254238,
lpt,0.12218681069638991,141.44444444444446,196.75,237.0,0.0,0.34408248601735847,0.6171428571428571,
sjf,0.10980111066873356,129.36111111111111,223.5,290.0,0.0,0.5865654236228562,0.8503937007874016,
hybrid,0.12271375371139734,146.77777777777777,229.5,234.0,0.0,0.5535668059117151,0.8709677419354839,
round_robin,0.11188452391891832,120.19444444444444,209.25,277.0,0.0,0.46475131516413876,0.8571428571428571,
weighted_least_loaded,0.10265121779009903,133.94444444444446,229.0,295.0,0.0,0.4594971369387196,0.8925619834710744,
