metric,value
policy,baseline
observation_seconds,381.6200089454651
tasks_total,36
tasks_completed,36
tasks_failed_or_incomplete,0
throughput_tasks_per_second,0.0943346762646938
makespan_seconds,350.0
deadline_misses,0
deadline_miss_rate,0.0
load_utilization_cv,0.679258764835752
jain_fairness_completed_tasks,0.8307692307692308
cpu_efficiency,0.7820521401126755
scheduler_overhead_percent,0.0
