policy,throughput_tasks_per_second,response_mean_seconds,response_p95_seconds,makespan_seconds,deadline_miss_rate,load_utilization_cv,jain_fairness,scheduler_p95_ms
baseline,0.1037468213288579,153.05555555555554,221.0,287.0,0.0,0.49429867051950815,0.8059701492537313,
random,0.10885183909108953,171.52777777777777,222.5,289.0,0.0,0.4738779590236026,0.6390532544378699,
lpt,0.10587128075234231,165.02777777777777,233.0,294.0,0.0,0.37738676811100674,0.5869565217391305,
sjf,0.10157487354037914,145.02777777777777,230.25,304.0,0.0,0.27912548650890046,0.8709677419354839,
hybrid,0.10781364684916078,157.47222222222223,234.25,269.0,0.0,0.6223688145638742,0.9,
round_robin,0.09663423027132899,140.66666666666666,226.75,320.0,0.0,0.3442725546941633,0.9310344827586207,
weighted_least_loaded,0.08544127341972373,145.88888888888889,255.5,370.0,0.0,0.5900518273780074,0.8780487804878049,
