policy,throughput_tasks_per_second,response_mean_seconds,response_p95_seconds,makespan_seconds,deadline_miss_rate,load_utilization_cv,jain_fairness,scheduler_p95_ms
baseline,0.09966473528357626,192.16666666666666,273.25,306.0,0.0,0.49810345519811494,0.8120300751879699,
random,0.0880592239922275,179.30555555555554,250.0,360.0,0.0,0.6261376762416865,0.7346938775510204,
lpt,0.11449750592992013,186.58333333333334,240.0,260.0,0.0,0.3458201884428276,0.6101694915254238,
sjf,0.1040820671705014,149.30555555555554,249.25,302.0,0.0,0.5169476980623009,0.8925619834710744,
hybrid,0.10722677566984164,179.91666666666666,289.0,287.0,0.0,0.6236919591039958,0.9152542372881356,
round_robin,0.10036573895040354,148.55555555555554,269.75,305.0,0.0,0.45565264748383344,0.8852459016393442,
weighted_least_loaded,0.09871329204366296,151.88888888888889,265.5,317.0,0.0,0.4847969127701733,0.9310344827586207,
